postal_code,country,state,area_description,territory_description
00777,USA,PR,Eastern Florida & Puerto Rico,Southeast
00778,USA,PR,Eastern Florida & Puerto Rico,Southeast
00779,USA,PR,Eastern Florida & Puerto Rico,Southeast
00780,USA,PR,Eastern Florida & Puerto Rico,Southeast
00781,USA,PR,Eastern Florida & Puerto Rico,Southeast
00782,USA,PR,Eastern Florida & Puerto Rico,Southeast
00783,USA,PR,Eastern Florida & Puerto Rico,Southeast
00784,USA,PR,Eastern Florida & Puerto Rico,Southeast
00785,USA,PR,Eastern Florida & Puerto Rico,Southeast
00786,USA,PR,Eastern Florida & Puerto Rico,Southeast
00787,USA,PR,Eastern Florida & Puerto Rico,Southeast
00788,USA,PR,Eastern Florida & Puerto Rico,Southeast
00789,USA,PR,Eastern Florida & Puerto Rico,Southeast
00790,USA,PR,Eastern Florida & Puerto Rico,Southeast
00791,USA,PR,Eastern Florida & Puerto Rico,Southeast
00792,USA,PR,Eastern Florida & Puerto Rico,Southeast
00793,USA,PR,Eastern Florida & Puerto Rico,Southeast
00794,USA,PR,Eastern Florida & Puerto Rico,Southeast
00795,USA,PR,Eastern Florida & Puerto Rico,Southeast
00796,USA,PR,Eastern Florida & Puerto Rico,Southeast
00797,USA,PR,Eastern Florida & Puerto Rico,Southeast
00798,USA,PR,Eastern Florida & Puerto Rico,Southeast
00801,USA,VI,Eastern Florida & Puerto Rico,Southeast
00802,USA,VI,Eastern Florida & Puerto Rico,Southeast
00803,USA,VI,Eastern Florida & Puerto Rico,Southeast
00804,USA,VI,Eastern Florida & Puerto Rico,Southeast
00805,USA,VI,Eastern Florida & Puerto Rico,Southeast
00806,USA,VI,Eastern Florida & Puerto Rico,Southeast
00807,USA,VI,Eastern Florida & Puerto Rico,Southeast
00808,USA,VI,Eastern Florida & Puerto Rico,Southeast
00809,USA,VI,Eastern Florida & Puerto Rico,Southeast
00810,USA,VI,Eastern Florida & Puerto Rico,Southeast
00811,USA,VI,Eastern Florida & Puerto Rico,Southeast
00815,USA,VI,Eastern Florida & Puerto Rico,Southeast
00816,USA,VI,Eastern Florida & Puerto Rico,Southeast
00817,USA,VI,Eastern Florida & Puerto Rico,Southeast
00819,USA,VI,Eastern Florida & Puerto Rico,Southeast
00820,USA,VI,Eastern Florida & Puerto Rico,Southeast
00821,USA,VI,Eastern Florida & Puerto Rico,Southeast
00822,USA,VI,Eastern Florida & Puerto Rico,Southeast
00823,USA,VI,Eastern Florida & Puerto Rico,Southeast
00824,USA,VI,Eastern Florida & Puerto Rico,Southeast
00825,USA,VI,Eastern Florida & Puerto Rico,Southeast
00826,USA,VI,Eastern Florida & Puerto Rico,Southeast
00827,USA,VI,Eastern Florida & Puerto Rico,Southeast
00828,USA,VI,Eastern Florida & Puerto Rico,Southeast
00830,USA,VI,Eastern Florida & Puerto Rico,Southeast
00831,USA,VI,Eastern Florida & Puerto Rico,Southeast
00832,USA,VI,Eastern Florida & Puerto Rico,Southeast
00833,USA,VI,Eastern Florida & Puerto Rico,Southeast
00834,USA,VI,Eastern Florida & Puerto Rico,Southeast
00836,USA,VI,Eastern Florida & Puerto Rico,Southeast
00837,USA,VI,Eastern Florida & Puerto Rico,Southeast
00840,USA,VI,Eastern Florida & Puerto Rico,Southeast
00841,USA,VI,Eastern Florida & Puerto Rico,Southeast
00850,USA,VI,Eastern Florida & Puerto Rico,Southeast
00851,USA,VI,Eastern Florida & Puerto Rico,Southeast
00852,USA,VI,Eastern Florida & Puerto Rico,Southeast
00853,USA,VI,Eastern Florida & Puerto Rico,Southeast
00855,USA,VI,Eastern Florida & Puerto Rico,Southeast
00857,USA,VI,Eastern Florida & Puerto Rico,Southeast
00861,USA,VI,Eastern Florida & Puerto Rico,Southeast
00862,USA,VI,Eastern Florida & Puerto Rico,Southeast
00863,USA,VI,Eastern Florida & Puerto Rico,Southeast
00867,USA,VI,Eastern Florida & Puerto Rico,Southeast
00868,USA,VI,Eastern Florida & Puerto Rico,Southeast
00869,USA,VI,Eastern Florida & Puerto Rico,Southeast
00870,USA,VI,Eastern Florida & Puerto Rico,Southeast
00872,USA,VI,Eastern Florida & Puerto Rico,Southeast
00874,USA,VI,Eastern Florida & Puerto Rico,Southeast
00875,USA,VI,Eastern Florida & Puerto Rico,Southeast
00876,USA,VI,Eastern Florida & Puerto Rico,Southeast
00877,USA,VI,Eastern Florida & Puerto Rico,Southeast
00878,USA,VI,Eastern Florida & Puerto Rico,Southeast
00879,USA,VI,Eastern Florida & Puerto Rico,Southeast
00882,USA,VI,Eastern Florida & Puerto Rico,Southeast
00885,USA,VI,Eastern Florida & Puerto Rico,Southeast
00886,USA,VI,Eastern Florida & Puerto Rico,Southeast
00887,USA,VI,Eastern Florida & Puerto Rico,Southeast
00888,USA,VI,Eastern Florida & Puerto Rico,Southeast
00890,USA,VI,Eastern Florida & Puerto Rico,Southeast
00893,USA,VI,Eastern Florida & Puerto Rico,Southeast
00895,USA,VI,Eastern Florida & Puerto Rico,Southeast
00897,USA,VI,Eastern Florida & Puerto Rico,Southeast
00898,USA,VI,Eastern Florida & Puerto Rico,Southeast
00901,USA,PR,Eastern Florida & Puerto Rico,Southeast
00902,USA,PR,Eastern Florida & Puerto Rico,Southeast
00903,USA,PR,Eastern Florida & Puerto Rico,Southeast
00904,USA,PR,Eastern Florida & Puerto Rico,Southeast
00905,USA,PR,Eastern Florida & Puerto Rico,Southeast
00906,USA,PR,Eastern Florida & Puerto Rico,Southeast
00907,USA,PR,Eastern Florida & Puerto Rico,Southeast
00908,USA,PR,Eastern Florida & Puerto Rico,Southeast
00909,USA,PR,Eastern Florida & Puerto Rico,Southeast
00910,USA,PR,Eastern Florida & Puerto Rico,Southeast
00911,USA,PR,Eastern Florida & Puerto Rico,Southeast
00912,USA,PR,Eastern Florida & Puerto Rico,Southeast
00913,USA,PR,Eastern Florida & Puerto Rico,Southeast
00914,USA,PR,Eastern Florida & Puerto Rico,Southeast
00915,USA,PR,Eastern Florida & Puerto Rico,Southeast
00916,USA,PR,Eastern Florida & Puerto Rico,Southeast
00917,USA,PR,Eastern Florida & Puerto Rico,Southeast
00918,USA,PR,Eastern Florida & Puerto Rico,Southeast
00919,USA,PR,Eastern Florida & Puerto Rico,Southeast
00920,USA,PR,Eastern Florida & Puerto Rico,Southeast
00921,USA,PR,Eastern Florida & Puerto Rico,Southeast
00922,USA,PR,Eastern Florida & Puerto Rico,Southeast
00923,USA,PR,Eastern Florida & Puerto Rico,Southeast
00924,USA,PR,Eastern Florida & Puerto Rico,Southeast
00925,USA,PR,Eastern Florida & Puerto Rico,Southeast
00926,USA,PR,Eastern Florida & Puerto Rico,Southeast
00927,USA,PR,Eastern Florida & Puerto Rico,Southeast
00928,USA,PR,Eastern Florida & Puerto Rico,Southeast
